card_number,gender,Name,Surname,Age,Birthday,City,card_num
182818,M,Федор,Денисов,44,1979-06-26,Grodno,155352
182819,F,Варвара,Воронова,63,1960-08-16,Mogilev,155816
182820,M,Михаил,Дроздов,57,1966-07-30,Mogilev,145122
182821,M,Митофан,Лобанов,48,1976-03-27,Brest,184469
182822,M,Платон,Большаков,45,1978-09-23,Mogilev,184519
182823,F,Ульяна,Ситникова,46,1977-07-13,Grodno,271043
182824,M,Ульян,Николаев,45,1978-09-01,Lida,275135
182825,F,Анжела,Рогова,43,1980-07-24,Gomel,276117
182826,M,Вячеслав,Мартынов,42,1981-10-05,Grodno,281653
182827,M,Елисей,Макаров,39,1984-08-27,Minsk,275044
182828,F,Лора,Копылова,47,1977-01-17,Mogilev,283560
182829,M,Любосмысл,Наумов,52,1971-08-22,Lida,283907
182830,M,Станислав,Быков,51,1972-12-02,Lida,294078
182831,M,Август,Козлов,31,1993-02-03,Grodno,280739
182832,M,Кир,Прохоров,50,1973-08-11,Orsha,288890
182833,M,Иннокентий,Русаков,43,1980-12-03,Grodno,294276
182834,F,Жанна,Панфилова,32,1992-02-14,Minsk,283758
182835,M,Януарий,Васильев,59,1964-04-23,Minsk,296479
182836,M,Сергей,Панфилов,50,1974-03-19,Minsk,283337
182837,M,Игорь,Шарапов,48,1976-01-21,Mogilev,283800
182838,M,Азарий,Авдеев,43,1981-03-12,Mogilev,307245
182839,M,Эрнест,Аксенов,41,1983-02-06,Orsha,388201
182840,F,Эмилия,Кононова,33,1990-10-13,Grodno,394415
182841,F,Агата,Брагина,38,1985-11-28,Orsha,387161
182842,M,Станимир,Крюков,47,1977-01-06,Minsk,395240
182843,F,Вера,Титова,49,1974-10-25,Mogilev,410088
182844,M,Спиридон,Буров,43,1980-09-10,Lida,429080
182845,F,Вера,Носова,49,1974-05-27,Minsk,426282
182846,F,Зинаида,Ермакова,46,1977-07-31,Mogilev,426407
182847,M,Михаил,Лихачев,25,1998-11-26,Grodno,429575
182848,F,Любовь,Веселова,46,1977-11-01,Mogilev,426035
182849,M,Вениамин,Веселов,43,1980-04-22,Mogilev,426217
182850,F,Прасковья,Орехова,40,1984-01-29,Brest,431993
182851,M,Аркадий,Шашков,45,1978-07-08,Lida,433346
182852,F,Елена,Суворова,52,1971-12-28,Lida,439152
182853,F,Александра,Колесникова,46,1977-09-05,Mogilev,440333
182854,M,Спиридон,Калашников,51,1972-12-03,Gomel,447395
182855,M,Януарий,Костин,29,1994-11-16,Lida,442891
182856,M,Феоктист,Крылов,41,1982-06-16,Gomel,446611
182857,F,Тамара,Фокина,51,1972-09-05,Orsha,440242
182858,M,Константин,Павлов,48,1976-03-29,Brest,482343
182859,F,Жанна,Фадеева,38,1985-06-14,Lida,486302
182860,M,Фока,Некрасов,44,1980-01-22,Orsha,486567
182861,M,Рюрик,Тетерин,53,1971-02-08,Lida,486872
182862,M,Эрнест,Зыков,44,1980-03-11,Lida,490163
182863,M,Артемий,Субботин,51,1973-03-29,Orsha,484166
182864,M,Варфоломей,Уваров,35,1989-01-15,Minsk,484505
182865,M,Мечислав,Сорокин,40,1983-06-07,Mogilev,486922
182866,M,Герман,Кононов,48,1975-08-23,Minsk,491781
182867,M,Игнатий,Дьячков,36,1987-07-03,Brest,484844
182868,M,Ферапонт,Емельянов,44,1979-05-24,Gomel,490791
182869,M,Ферапонт,Гордеев,41,1982-06-26,Lida,512347
182870,F,Александра,Кондратьева,39,1984-08-30,Mogilev,583165
182871,F,Виктория,Трофимова,44,1979-11-15,Minsk,587109
182872,M,Максимильян,Муравьев,34,1989-06-25,Brest,587331
182873,F,Клавдия,Трофимова,35,1989-03-28,Mogilev,583801
182874,F,Анастасия,Зайцева,49,1975-02-24,Grodno,587960
182875,M,Осип,Куликов,51,1972-07-09,Orsha,583629
182876,M,Мариан,Кононов,47,1977-04-07,Orsha,587059
182877,M,Рубен,Смирнов,50,1974-01-05,Orsha,590251
182878,M,Автоном,Сергеев,52,1972-03-23,Orsha,590574
182879,M,Остап,Савельев,56,1967-05-04,Brest,612501
182880,M,Дементий,Суханов,41,1982-09-14,Gomel,647259
182881,M,Михаил,Лаврентьев,41,1982-07-13,Orsha,647572
182882,M,Спиридон,Сергеев,61,1962-04-21,Mogilev,656565
182883,M,Осип,Щербаков,45,1978-09-08,Minsk,647697
182884,M,Никон,Киселев,42,1981-05-07,Gomel,656268
182885,M,Фома,Петухов,46,1978-02-28,Gomel,656367
182886,M,Авксентий,Трофимов,41,1982-09-23,Mogilev,656821
182887,F,Раиса,Анисимова,38,1985-08-27,Brest,675029
182888,M,Азарий,Трофимов,36,1988-01-09,Brest,650040
182889,M,Мартын,Шестаков,45,1978-12-09,Mogilev,656169
182890,F,Ольга,Петухова,44,1979-07-31,Gomel,656987
182891,F,Оксана,Белякова,46,1977-12-21,Lida,663801
182892,M,Артем,Бобылев,54,1969-07-15,Orsha,641130
182893,M,Измаил,Крюков,45,1978-09-10,Mogilev,649826
182894,M,Яков,Журавлев,52,1971-11-23,Minsk,659924
182895,F,Евпраксия,Якушева,58,1965-05-25,Brest,664585
182896,F,Дарья,Зимина,48,1975-12-11,Orsha,715304
182897,F,Алевтина,Евдокимова,44,1980-02-07,Orsha,715470
182898,F,Валерия,Комиссарова,37,1986-08-10,Gomel,715643
182899,M,Анисим,Куликов,44,1979-05-13,Gomel,721567
182900,M,Анатолий,Гаврилов,35,1988-07-13,Grodno,721815
182901,F,Регина,Попова,61,1962-12-27,Brest,717771
182902,M,Гурий,Киселев,61,1962-09-11,Gomel,715330
182903,M,Артемий,Михеев,57,1966-11-20,Orsha,721104
182904,M,Януарий,Вишняков,44,1979-10-26,Gomel,721344
182905,F,Маргарита,Блохина,61,1963-02-03,Minsk,810808
182906,F,Ольга,Ершова,55,1968-05-31,Gomel,820286
182907,M,Владимир,Лаврентьев,50,1973-04-29,Lida,809604
182908,F,Агата,Вишнякова,49,1974-05-26,Orsha,814883
182909,M,Фока,Калашников,34,1990-03-11,Lida,827174
182910,M,Максим,Стрелков,43,1981-01-19,Brest,828240
182911,M,Юлиан,Бирюков,46,1977-05-03,Minsk,820252
182912,F,Екатерина,Федорова,60,1963-08-11,Lida,821698
182913,M,Антип,Шашков,34,1989-07-01,Gomel,829352
182914,F,Нина,Куликова,43,1980-12-15,Minsk,828149
182915,M,Борис,Романов,48,1976-02-13,Mogilev,831911
182916,M,Антонин,Шашков,39,1985-03-29,Lida,918950
182917,M,Аникита,Чернов,34,1990-01-23,Lida,1308374
182918,F,Октябрина,Доронина,29,1995-02-28,Mogilev,3904857
182919,F,Алевтина,Елисеева,26,1997-10-20,Grodno,1838850
182920,F,Маргарита,Щукина,54,1969-12-24,Minsk,3459150
182921,M,Онуфрий,Жданов,38,1985-05-26,Minsk,6664084
182922,M,Борислав,Лобанов,43,1980-11-18,Grodno,6713592
182923,M,Макар,Журавлев,41,1982-12-20,Orsha,5215011
182924,M,Якуб,Калинин,44,1980-01-30,Brest,5668243
182925,F,Екатерина,Мясникова,48,1975-04-25,Gomel,10691818
182926,M,Валерьян,Смирнов,35,1988-07-15,Mogilev,13118777
182927,M,Владилен,Аксенов,50,1973-12-21,Orsha,13447838
182928,F,Маргарита,Артемьева,49,1975-03-21,Lida,9995113
182929,F,Светлана,Федорова,32,1991-09-29,Minsk,12970368
182930,M,Гордей,Абрамов,44,1980-03-01,Grodno,15305879
182931,M,Вацлав,Сафонов,59,1964-09-03,Gomel,15374733
182932,M,Венедикт,Уваров,39,1984-11-27,Orsha,15950136
182933,F,София,Котова,32,1991-06-22,Lida,16193066
182934,M,Панкрат,Блохин,38,1986-04-05,Grodno,19216096
182935,F,Иванна,Горшкова,50,1973-11-08,Orsha,19706163
182936,M,Руслан,Рогов,46,1978-02-13,Orsha,19859481
182937,M,Ферапонт,Колобов,47,1977-02-11,Brest,18604088
182938,M,Иларион,Фокин,42,1981-05-28,Gomel,21353572
182939,F,Светлана,Лукина,50,1973-06-14,Brest,23342672
182940,M,Болеслав,Петров,59,1964-10-16,Grodno,25809456
182941,M,Модест,Иванов,26,1997-11-10,Orsha,23765815
182942,M,Савелий,Гуляев,38,1985-06-03,Lida,26246169
182943,M,Зосима,Копылов,49,1975-03-20,Minsk,27496441
182944,M,Ананий,Горбунов,44,1979-07-06,Lida,31303353
182945,F,Алевтина,Прохорова,41,1983-01-24,Lida,32467221
182946,M,Владимир,Фокин,44,1979-07-29,Lida,32783411
182947,F,Эмилия,Киселева,37,1986-05-18,Brest,32883559
182948,M,Радим,Воробьев,42,1981-08-23,Mogilev,34819932
182949,M,Илья,Анисимов,53,1970-06-20,Mogilev,36968630
182950,M,Тимофей,Колобов,59,1965-04-13,Orsha,38751570
182951,M,Александр,Баранов,44,1980-03-13,Brest,39447374
182952,F,Алла,Калинина,42,1982-02-08,Gomel,41053699
182953,F,Вера,Харитонова,49,1975-02-06,Minsk,41839113
182954,M,Мечислав,Большаков,38,1986-04-10,Brest,43017627
182955,M,Филимон,Рябов,55,1968-12-22,Grodno,46965343
182956,M,Зосима,Потапов,46,1978-01-30,Orsha,46721217
182957,M,Данила,Маслов,41,1982-11-04,Gomel,48167890
182958,M,Лучезар,Беляев,50,1973-11-27,Minsk,47008954
182959,F,Валентина,Маслова,40,1983-12-14,Minsk,50958283
182960,M,Лука,Шестаков,49,1975-04-06,Minsk,50018153
182961,F,Лидия,Зайцева,44,1980-03-11,Mogilev,48279768
182962,M,Флорентин,Соловьев,31,1993-03-12,Orsha,50124522
182963,M,Борис,Самсонов,45,1978-10-29,Minsk,50001610
182964,M,Феофан,Панов,51,1972-10-20,Gomel,53472654
182965,M,Евлампий,Крюков,53,1970-07-26,Grodno,55072296
182966,M,Дементий,Рябов,34,1989-09-14,Brest,53668790
182967,M,Доброслав,Моисеев,34,1990-03-16,Orsha,57780276
182968,M,Мефодий,Мясников,55,1968-11-17,Mogilev,57378725
182969,M,Спиридон,Родионов,41,1982-05-21,Lida,57900223
182970,M,Сильвестр,Ильин,43,1981-03-24,Grodno,58313622
182971,F,Елена,Тихонова,34,1989-07-04,Mogilev,59597670
182972,F,Милица,Васильева,40,1984-01-02,Mogilev,61603813
182973,M,Евгений,Лапин,56,1967-07-23,Gomel,59288013
182974,F,Агафья,Миронова,46,1978-03-10,Grodno,60438706
182975,M,Зосима,Зуев,44,1979-10-21,Orsha,61982611
182976,F,Марфа,Силина,43,1980-06-05,Brest,65388971
182977,M,Тарас,Пахомов,54,1969-08-12,Brest,63707745
182978,M,Изот,Архипов,34,1989-06-26,Lida,65431789
182979,M,Лавр,Смирнов,40,1983-10-19,Minsk,66104569
182980,M,Пахом,Ефимов,57,1966-04-21,Gomel,69396061
182981,F,Александра,Кузьмина,45,1978-09-01,Minsk,69309611
182982,M,Сигизмунд,Артемьев,46,1977-06-13,Gomel,72004225
182983,M,Спиридон,Гордеев,45,1978-10-31,Brest,74676044
182984,M,Олимпий,Медведев,45,1978-08-11,Grodno,74754478
182985,M,Владилен,Лыткин,44,1979-06-11,Lida,75460265
182986,M,Ульян,Комиссаров,41,1982-09-27,Orsha,77195315
182987,M,Евсей,Пахомов,43,1981-04-09,Gomel,74374491
182988,M,Лев,Крюков,38,1985-10-22,Mogilev,75341937
182989,M,Викентий,Нестеров,33,1990-04-24,Brest,75168116
182990,M,Давыд,Жданов,40,1983-07-08,Lida,76089295
182991,F,Зинаида,Антонова,47,1976-08-20,Gomel,76248289
182992,M,Аникита,Лобанов,47,1976-10-12,Mogilev,76610785
182993,M,Милан,Гурьев,41,1982-12-05,Mogilev,78459561
182994,M,Ладислав,Сысоев,47,1977-01-04,Grodno,80310794
182995,M,Никодим,Агафонов,46,1978-01-07,Brest,80932282
182996,F,Алевтина,Никонова,48,1975-10-17,Lida,84687189
182997,M,Мефодий,Мишин,49,1974-05-16,Grodno,87999383
182998,M,Софон,Селезнев,27,1996-08-03,Mogilev,88792811
182999,M,Поликарп,Марков,36,1988-04-04,Minsk,86265216
183000,M,Азарий,Капустин,60,1963-08-29,Minsk,90425137
183001,M,Гремислав,Фомин,47,1976-12-04,Minsk,90612122
183002,M,Трофим,Прохоров,32,1991-09-07,Minsk,86469479
183003,F,Иванна,Гаврилова,45,1979-01-21,Brest,94478884
183004,M,Рубен,Горшков,47,1976-07-31,Minsk,90730387
183005,M,Николай,Алексеев,49,1975-04-03,Gomel,90251707
183006,M,Архип,Тихонов,45,1978-06-27,Lida,96241322
183007,M,Фадей,Исаев,43,1980-09-29,Grodno,102064445
183008,M,Бронислав,Белоусов,51,1972-09-04,Lida,98504753
183009,M,Николай,Воронцов,35,1988-05-31,Gomel,99859658
183010,M,Касьян,Маслов,31,1992-11-20,Orsha,97229284
183011,M,Глеб,Елисеев,37,1987-02-18,Orsha,98717006
183012,M,Максим,Петров,54,1970-04-04,Orsha,99875498
183013,M,Дементий,Савин,34,1989-11-01,Orsha,100423379
183014,M,Валерьян,Моисеев,41,1982-05-14,Minsk,100996366
183015,M,Карл,Шилов,46,1977-06-06,Gomel,103098558
183016,M,Мокей,Петухов,48,1975-11-12,Minsk,103654855
183017,M,Серафим,Никитин,43,1981-04-12,Orsha,105352045
183018,M,Радим,Мухин,37,1986-08-28,Mogilev,105139301
183019,M,Поликарп,Никитин,59,1964-12-15,Brest,106693959
183020,M,Сократ,Зайцев,48,1975-07-23,Minsk,106779881
183021,F,Валерия,Устинова,43,1981-02-25,Grodno,106185014
183022,F,Анжелика,Белоусова,44,1979-06-22,Brest,108683859
183023,M,Аникей,Зайцев,52,1971-12-25,Orsha,109398556
183024,M,Ананий,Щербаков,52,1972-02-11,Minsk,109408415
183025,F,Ирина,Фролова,35,1989-01-12,Gomel,112905423
183026,F,Любовь,Воронцова,59,1964-12-31,Lida,108940970
183027,M,Изяслав,Шаров,51,1972-11-30,Orsha,110553561
183028,F,Ксения,Мухина,46,1978-03-18,Brest,115048864
183029,M,Дмитрий,Родионов,51,1972-06-20,Grodno,115121208
183030,M,Виталий,Игнатьев,66,1958-04-06,Gomel,115390985
183031,M,Фока,Бирюков,46,1977-07-23,Grodno,113591907
183032,F,Анастасия,Голубева,37,1986-07-09,Brest,119619389
183033,F,Марфа,Коновалова,41,1982-10-01,Grodno,114996675
183034,M,Доброслав,Чернов,37,1986-05-08,Gomel,117923973
183035,F,Нина,Игнатьева,42,1981-07-20,Mogilev,119200968
183036,M,Иннокентий,Горбачев,44,1979-05-29,Gomel,123053270
183037,M,Алексей,Панов,47,1976-11-03,Lida,120063239
183038,M,Варлаам,Стрелков,31,1993-03-19,Grodno,123857751
183039,M,Сила,Архипов,37,1986-08-03,Minsk,125125736
183040,M,Вячеслав,Якушев,44,1979-08-15,Gomel,127910978
183041,M,Федосий,Кошелев,37,1987-01-17,Mogilev,127253254
183042,M,Павел,Блохин,51,1972-06-24,Brest,125524003
183043,M,Арефий,Воронов,44,1979-12-20,Orsha,126690490
183044,F,Агата,Куликова,49,1974-06-19,Brest,127651523
183045,F,Елизавета,Назарова,44,1980-01-30,Grodno,130067147
183046,M,Касьян,Одинцов,39,1984-10-01,Gomel,126635832
183047,F,Лидия,Смирнова,30,1993-12-05,Orsha,128393026
183048,M,Спиридон,Сазонов,35,1988-09-14,Lida,132478094
183049,M,Егор,Егоров,31,1992-09-26,Lida,132493044
183050,M,Изяслав,Пономарев,40,1983-06-15,Gomel,133833693
183051,M,Сергей,Беляев,40,1983-12-17,Mogilev,128468299
183052,M,Мирон,Мамонтов,39,1984-09-20,Grodno,134872757
183053,F,Лариса,Попова,44,1980-03-23,Brest,130318151
183054,M,Лонгин,Соколов,44,1979-08-02,Orsha,139359834
183055,M,Никодим,Беляков,43,1980-10-24,Grodno,140675913
183056,M,Кирилл,Никитин,42,1981-08-24,Grodno,141365870
183057,M,Кир,Сергеев,56,1968-04-01,Gomel,142248743
183058,M,Любим,Соболев,38,1986-03-06,Minsk,139989259
183059,F,Алевтина,Кузьмина,43,1980-11-08,Lida,140402898
183060,F,Раиса,Фролова,47,1976-09-08,Gomel,138901984
183061,F,Ирина,Николаева,45,1979-04-15,Grodno,148054360
183062,M,Якуб,Богданов,42,1981-04-22,Orsha,144199399
183063,M,Харлампий,Воронцов,57,1966-11-17,Brest,145388793
183064,M,Софон,Козлов,44,1979-06-13,Minsk,148640851
183065,M,Мокей,Игнатьев,50,1973-12-08,Orsha,152891523
183066,F,Светлана,Доронина,51,1972-05-27,Lida,153163427
183067,M,Вышеслав,Зыков,54,1970-03-11,Orsha,154525962
183068,F,Тамара,Казакова,46,1978-01-10,Grodno,151333000
183069,M,Григорий,Прохоров,38,1985-09-21,Orsha,153554088
183070,M,Олег,Шашков,43,1980-08-06,Brest,160882365
183071,M,Евлампий,Рыбаков,44,1979-11-22,Lida,160894741
183072,M,Никандр,Костин,47,1976-06-06,Grodno,158131692
183073,F,Лидия,Зайцева,47,1977-02-17,Minsk,164980272
183074,M,Спиридон,Тимофеев,56,1967-05-06,Brest,166500873
183075,M,Аскольд,Авдеев,31,1992-10-23,Brest,168303358
183076,M,Изяслав,Кошелев,43,1980-05-11,Mogilev,162902122
183077,F,Милица,Алексеева,46,1977-07-10,Mogilev,165329768
183078,F,Нина,Новикова,50,1973-12-18,Minsk,171863446
183079,M,Алексей,Мишин,40,1983-10-05,Minsk,166335657
183080,M,Стоян,Соболев,29,1995-03-17,Minsk,166983621
183081,M,Арефий,Власов,46,1977-04-29,Lida,167245756
183082,M,Василий,Данилов,35,1988-10-05,Minsk,173867213
183083,M,Тарас,Хохлов,34,1989-08-05,Grodno,171692266
183084,M,Силантий,Панов,43,1980-12-21,Minsk,169611658
183085,M,Сидор,Щербаков,46,1977-06-08,Gomel,170827079
183086,M,Григорий,Авдеев,51,1972-12-31,Brest,171282159
183087,M,Лаврентий,Петухов,57,1967-03-01,Grodno,173990981
183088,M,Автоном,Корнилов,57,1966-08-08,Mogilev,178691071
183089,M,Кузьма,Крюков,38,1985-08-27,Lida,176970857
183090,F,Фаина,Щукина,51,1973-01-26,Orsha,175751084
183091,M,Ульян,Волков,49,1974-11-29,Grodno,181367495
183092,F,Алла,Бирюкова,57,1966-04-21,Minsk,179011329
183093,F,София,Попова,47,1976-05-06,Orsha,179277326
183094,M,Демид,Сысоев,38,1985-05-23,Minsk,180108629
183095,M,Харлампий,Мясников,34,1989-12-04,Minsk,182532543
183096,M,Устин,Артемьев,55,1968-06-11,Gomel,182666903
183097,F,Ангелина,Одинцова,38,1985-08-01,Minsk,190148233
183098,M,Лукьян,Павлов,50,1973-10-31,Lida,184377673
183099,M,Георгий,Фокин,44,1979-05-12,Gomel,183039647
183100,M,Прокл,Киселев,49,1975-03-12,Gomel,183083298
183101,M,Прокл,Сафонов,44,1979-11-28,Brest,190358180
183102,M,Тимофей,Горбачев,63,1960-08-19,Brest,190991723
183103,M,Порфирий,Титов,46,1977-07-05,Gomel,192595464
183104,M,Аггей,Щербаков,36,1988-04-11,Lida,194478289
183105,F,Александра,Смирнова,43,1980-07-25,Orsha,192416141
183106,M,Фадей,Коновалов,36,1987-11-28,Brest,194629850
183107,F,Марфа,Боброва,36,1987-08-10,Lida,194664706
183108,F,Татьяна,Корнилова,42,1982-01-01,Brest,199207008
183109,M,Аникей,Молчанов,42,1981-05-13,Orsha,199407319
183110,M,Каллистрат,Щукин,42,1981-11-03,Grodno,195399864
183111,M,Натан,Ермаков,39,1984-10-16,Brest,200199499
183112,F,Ксения,Дементьева,40,1984-03-31,Grodno,201185960
183113,M,Гремислав,Петухов,37,1986-10-09,Grodno,202376483
183114,F,Лукия,Панова,43,1980-05-06,Lida,208448567
183115,M,Ермил,Королев,46,1977-07-13,Grodno,202121871
183116,F,Нинель,Щукина,50,1973-06-03,Brest,206275004
183117,M,Лавр,Игнатьев,51,1972-08-07,Orsha,207570106
183118,M,Мефодий,Тетерин,40,1983-04-27,Minsk,207836788
183119,F,Таисия,Гурьева,39,1984-06-23,Mogilev,208674642
183120,F,Ангелина,Зыкова,36,1988-03-15,Lida,215710827
183121,M,Ипат,Новиков,37,1987-02-26,Orsha,217376387
183122,F,Валентина,Красильникова,39,1985-03-29,Brest,211380831
183123,M,Агафон,Воронцов,31,1993-01-12,Mogilev,213812716
183124,F,Эмилия,Кошелева,35,1988-10-03,Mogilev,220043016
183125,M,Никандр,Титов,46,1977-08-12,Brest,220422152
183126,F,Клавдия,Михеева,48,1975-06-28,Grodno,214090494
183127,M,Савва,Блинов,39,1984-10-20,Lida,216689566
183128,M,Игорь,Петров,48,1975-05-10,Grodno,218917999
183129,M,Фока,Симонов,39,1985-02-09,Gomel,221448123
183130,M,Никифор,Чернов,54,1969-08-27,Orsha,221621521
183131,M,Андрей,Марков,52,1971-08-10,Gomel,218976375
183132,F,Надежда,Афанасьева,48,1975-10-09,Gomel,219549486
183133,F,Марина,Яковлева,50,1973-12-25,Grodno,227159138
183134,M,Каллистрат,Кузьмин,46,1977-12-25,Lida,220106211
183135,M,Пимен,Антонов,52,1972-04-01,Minsk,219741349
183136,F,Лидия,Симонова,49,1974-09-21,Minsk,226878589
183137,F,Анна,Дмитриева,53,1970-10-18,Lida,228419176
183138,M,Вацлав,Назаров,48,1975-11-26,Minsk,223308988
183139,M,Тимур,Белозеров,40,1983-10-10,Lida,225287311
183140,M,Евграф,Гущин,46,1977-07-03,Mogilev,225631013
183141,F,Лидия,Русакова,41,1982-10-06,Minsk,233078100
183142,F,Лидия,Козлова,49,1974-07-23,Lida,236250373
183143,M,Ярополк,Горбунов,47,1976-11-03,Lida,230533800
183144,M,Матвей,Федотов,37,1986-05-20,Orsha,232139885
183145,M,Никифор,Коновалов,53,1971-02-22,Orsha,232820997
183146,M,Савватий,Дроздов,45,1978-08-04,Mogilev,236767517
183147,F,Евдокия,Исакова,50,1974-01-05,Orsha,237221266
183148,M,Орест,Игнатов,44,1979-07-01,Minsk,237530476
183149,M,Никита,Артемьев,52,1972-01-23,Grodno,239055704
183150,M,Терентий,Исаков,57,1966-08-12,Orsha,236344051
183151,M,Сильвестр,Голубев,36,1987-10-08,Orsha,236538801
183152,M,Евстафий,Носов,45,1978-09-14,Grodno,234307185
183153,M,Сидор,Герасимов,60,1963-11-10,Minsk,242978892
183154,F,Наталья,Рябова,55,1968-12-10,Gomel,241435019
183155,F,Екатерина,Потапова,37,1986-09-10,Grodno,247037860
183156,F,Олимпиада,Романова,40,1983-06-02,Mogilev,248804946
183157,F,Прасковья,Морозова,33,1990-12-11,Minsk,243058860
183158,M,Онуфрий,Костин,35,1988-12-23,Grodno,250011511
183159,M,Сидор,Мишин,41,1983-03-06,Lida,245973330
183160,M,Сергей,Рыбаков,46,1978-01-29,Brest,251229005
183161,M,Иосиф,Смирнов,38,1985-08-06,Grodno,249954771
183162,M,Эмиль,Михайлов,29,1994-10-01,Lida,254797529
183163,M,Аверкий,Матвеев,44,1979-12-25,Minsk,255127692
183164,M,Варфоломей,Фадеев,43,1981-04-03,Lida,257850168
183165,F,Нинель,Корнилова,36,1987-07-01,Lida,259306054
183166,M,Аркадий,Беляков,43,1980-12-16,Orsha,260752294
183167,M,Ладислав,Яковлев,40,1984-03-18,Brest,260909953
183168,M,Михаил,Блохин,46,1978-04-13,Grodno,256825252
183169,M,Милий,Соловьев,43,1981-03-16,Orsha,263849180
183170,M,Александр,Меркушев,42,1981-07-09,Orsha,261162527
183171,M,Владилен,Архипов,40,1983-04-29,Brest,264637004
183172,M,Аким,Кулаков,45,1978-06-06,Gomel,265669121
183173,F,Любовь,Филатова,50,1973-09-15,Minsk,269871220
183174,M,Боян,Сидоров,41,1983-03-21,Mogilev,270227154
183175,F,Варвара,Медведева,45,1979-02-08,Orsha,270756335
183176,M,Филарет,Волков,50,1973-05-31,Mogilev,267119455
183177,M,Модест,Наумов,45,1978-12-29,Minsk,268923681
183178,M,Любомир,Крылов,51,1973-02-07,Gomel,278010321
183179,M,Варфоломей,Киселев,45,1978-06-21,Mogilev,278109711
183180,M,Дементий,Некрасов,52,1971-10-23,Minsk,278856152
183181,M,Моисей,Соболев,51,1973-04-09,Brest,273373013
183182,M,Анисим,Гаврилов,47,1976-10-26,Minsk,273508082
183183,F,Полина,Тетерина,46,1977-06-06,Mogilev,274506689
183184,F,Лукия,Ефремова,59,1964-12-06,Orsha,275028185
183185,F,Оксана,Никитина,48,1975-08-22,Mogilev,276887373
183186,F,Лидия,Ситникова,41,1983-04-13,Lida,279400788
183187,F,Анастасия,Лихачева,52,1972-02-03,Lida,275242232
183188,M,Михаил,Романов,59,1965-04-08,Brest,278591759
183189,M,Твердислав,Богданов,53,1970-09-10,Orsha,282633001
183190,F,Юлия,Антонова,58,1965-07-07,Grodno,283330003
183191,M,Аркадий,Романов,49,1974-09-16,Brest,289071247
183192,M,Творимир,Виноградов,31,1993-01-24,Lida,292732860
183193,M,Кондратий,Рыбаков,55,1968-08-09,Gomel,287100255
183194,F,Ирина,Хохлова,39,1984-09-29,Minsk,288208982
183195,M,Савва,Петров,50,1973-04-27,Orsha,290060023
183196,F,Зинаида,Комарова,49,1974-09-03,Minsk,291380719
183197,M,Панкрат,Архипов,36,1987-04-29,Gomel,291342214
183198,M,Милан,Князев,34,1989-05-28,Gomel,290394265
183199,F,Анжела,Ширяева,41,1983-03-07,Brest,297332979
183200,M,Любим,Блохин,40,1983-10-10,Brest,297442331
183201,M,Амвросий,Назаров,54,1969-12-09,Lida,298044987
183202,M,Исидор,Виноградов,42,1981-12-08,Mogilev,292046038
183203,F,Лора,Маслова,42,1982-01-18,Grodno,301886184
183204,M,Гордей,Попов,36,1988-04-17,Gomel,292460288
183205,M,Аполлинарий,Панфилов,37,1986-06-25,Minsk,296394715
183206,F,Наина,Чернова,53,1970-10-15,Mogilev,296219227
183207,M,Эдуард,Николаев,49,1974-05-04,Lida,304009984
183208,F,Нонна,Вишнякова,54,1969-06-11,Brest,305106417
183209,M,Павел,Силин,25,1998-06-10,Lida,305404408
183210,F,Татьяна,Козлова,42,1982-03-27,Brest,302689363
183211,M,Савелий,Громов,43,1980-05-20,Mogilev,312187135
183212,M,Семен,Елисеев,41,1982-12-16,Brest,314221759
183213,M,Наум,Дьячков,42,1981-09-13,Gomel,308770589
183214,M,Федор,Богданов,34,1989-08-01,Lida,309244436
183215,M,Исай,Гурьев,49,1974-09-09,Mogilev,317761264
183216,M,Вышеслав,Артемьев,37,1986-09-24,Minsk,310946375
183217,M,Самуил,Фадеев,49,1974-11-26,Gomel,311419646
183218,M,Поликарп,Молчанов,41,1982-10-05,Grodno,311913705
183219,M,Ерофей,Муравьев,46,1977-12-23,Grodno,318036781
183220,M,Варлаам,Гурьев,41,1983-04-05,Grodno,319281196
183221,M,Милен,Степанов,42,1981-07-26,Brest,314492840
183222,M,Каллистрат,Калинин,30,1994-01-15,Mogilev,313338893
183223,F,Раиса,Селезнева,40,1983-11-09,Mogilev,314787072
183224,M,Федосий,Филиппов,47,1976-09-30,Grodno,315562409
183225,F,Евфросиния,Гущина,36,1987-05-05,Brest,315663918
183226,M,Амвросий,Фокин,51,1973-03-06,Brest,315723241
183227,M,Аверкий,Туров,41,1983-01-26,Lida,318124801
183228,M,Захар,Кириллов,39,1984-05-07,Minsk,315633275
183229,F,Евгения,Стрелкова,53,1970-09-24,Grodno,326973157
183230,M,Леон,Белов,34,1990-04-15,Orsha,321864757
183231,M,Януарий,Виноградов,48,1976-02-11,Brest,321025805
183232,M,Владилен,Евсеев,42,1981-07-09,Grodno,322545860
183233,M,Радим,Воробьев,49,1975-04-08,Mogilev,323791677
183234,M,Филипп,Евсеев,48,1975-12-25,Mogilev,325110876
183235,M,Серафим,Брагин,47,1976-05-18,Minsk,331766596
183236,M,Измаил,Дроздов,38,1985-10-27,Grodno,333064974
183237,M,Георгий,Осипов,43,1980-10-23,Grodno,326050444
